tag	layer	target	N	C	H	W	bit
0	0	0	14	0	5	2	3
1	0	0	28	0	5	0	1
2	0	0	54	0	0	0	3
3	0	0	29	2	4	0	3
4	0	0	53	0	3	4	4
5	0	0	0	0	5	3	5
6	0	0	35	0	1	6	5
7	0	0	13	0	3	0	5
8	0	0	44	2	2	6	0
9	0	0	58	2	0	3	1
10	0	0	37	2	4	6	5
11	0	0	24	2	0	0	3
12	0	0	37	0	6	1	1
13	0	0	48	1	3	5	5
14	0	0	20	1	2	1	4
15	0	0	9	2	5	1	3
16	0	0	20	1	3	2	3
17	0	0	41	0	1	6	0
18	0	0	40	1	2	0	3
19	0	0	40	0	5	3	6
20	0	0	58	0	2	1	3
21	0	0	33	2	4	3	6
22	0	0	46	0	1	4	7
23	0	0	11	0	6	0	2
24	0	0	20	2	3	4	1
25	0	0	49	1	4	3	4
26	0	0	1	2	5	0	4
27	0	0	43	0	2	3	2
28	0	0	58	0	5	5	4
29	0	0	22	2	0	6	4
30	0	0	25	0	2	6	2
31	0	0	0	2	2	3	0
32	0	0	14	1	6	6	4
33	0	0	30	0	1	4	1
34	0	0	10	2	3	6	1
35	0	0	16	0	5	3	2
36	0	0	33	2	6	4	6
37	0	0	27	2	6	5	3
38	0	0	39	1	5	5	5
39	0	0	56	2	3	0	3
40	0	0	28	0	2	0	3
41	0	0	28	0	0	5	0
42	0	0	29	0	0	6	5
43	0	0	9	2	1	2	7
44	0	0	27	2	1	5	7
45	0	0	31	1	6	3	3
46	0	0	12	0	5	3	5
47	0	0	54	1	3	6	0
48	0	0	12	0	3	5	5
49	0	0	13	0	1	1	7
50	0	0	17	1	1	2	7
51	0	0	31	0	3	6	1
52	0	0	6	2	4	6	0
53	0	0	11	0	1	3	7
54	0	0	61	0	6	3	0
55	0	0	21	1	0	3	4
56	0	0	58	1	3	5	7
57	0	0	19	0	2	1	0
58	0	0	7	2	2	0	0
59	0	0	61	2	6	4	2
60	0	0	7	2	0	6	2
61	0	0	8	2	0	5	3
62	0	0	51	0	4	1	0
63	0	0	10	1	5	4	5
64	0	0	33	0	5	5	5
65	0	0	30	1	3	1	4
66	0	0	58	1	6	0	0
67	0	0	58	2	4	0	1
68	0	0	27	2	2	1	5
69	0	0	8	0	2	2	2
70	0	0	56	2	5	2	0
71	0	0	38	2	0	1	4
72	0	0	14	0	5	4	2
73	0	0	34	1	4	1	5
74	0	0	26	2	5	6	4
75	0	0	62	1	6	0	1
76	0	0	54	1	0	0	5
77	0	0	16	2	2	1	7
78	0	0	54	2	0	0	1
79	0	0	19	2	0	6	5
80	0	0	18	1	1	0	4
81	0	0	46	0	2	1	3
82	0	0	13	1	6	4	6
83	0	0	19	0	6	1	2
84	0	0	52	0	1	5	5
85	0	0	52	2	6	5	3
86	0	0	34	0	6	5	1
87	0	0	48	0	6	3	3
88	0	0	25	1	2	2	3
89	0	0	28	0	5	1	6
90	0	0	42	1	6	0	4
91	0	0	44	2	4	3	5
92	0	0	3	0	2	1	4
93	0	0	4	0	4	3	5
94	0	0	40	1	4	4	1
95	0	0	49	2	1	2	0
96	0	0	55	0	4	6	3
97	0	0	46	1	0	5	5
98	0	0	40	2	6	0	4
99	0	0	39	2	3	2	6
100	0	0	37	2	1	1	6
101	0	0	48	2	5	1	4
102	0	0	51	2	6	0	4
103	0	0	36	0	3	6	5
104	0	0	59	1	3	5	3
105	0	0	60	2	1	5	1
106	0	0	36	2	5	5	5
107	0	0	11	0	5	2	3
108	0	0	25	0	0	0	3
109	0	0	60	2	6	6	1
110	0	0	58	1	5	4	3
111	0	0	49	1	3	1	2
112	0	0	0	0	6	3	3
113	0	0	22	2	4	3	0
114	0	0	31	0	3	1	7
115	0	0	40	1	4	6	6
116	0	0	57	0	5	6	7
117	0	0	57	1	6	1	4
118	0	0	62	2	1	2	7
119	0	0	9	2	2	1	4
120	0	0	42	1	4	0	2
121	0	0	19	0	3	5	2
122	0	0	27	0	3	3	5
123	0	0	59	1	0	1	6
124	0	0	49	2	5	0	6
125	0	0	61	0	2	2	6
126	0	0	53	2	5	5	3
127	0	0	62	0	2	3	7
128	0	0	3	1	2	5	6
129	0	0	21	1	1	4	0
130	0	0	50	2	4	5	0
131	0	0	10	2	3	1	7
132	0	0	23	0	2	3	5
133	0	0	27	1	2	2	6
134	0	0	35	1	2	6	1
135	0	0	60	0	5	4	0
136	0	0	44	0	5	0	0
137	0	0	3	0	1	6	0
138	0	0	19	0	1	3	1
139	0	0	27	1	5	2	5
140	0	0	21	2	4	5	1
141	0	0	20	1	0	4	0
142	0	0	39	2	5	3	6
143	0	0	25	0	4	5	3
144	0	0	13	2	6	2	1
145	0	0	5	1	4	3	5
146	0	0	8	2	5	2	0
147	0	0	53	1	0	3	5
148	0	0	58	2	1	3	2
149	0	0	34	2	6	4	7
