tag	layer	target	N	C	H	W	bit
0	0	0	7	0	2	1	3
1	0	0	14	0	2	0	1
2	0	0	27	0	0	0	3
3	0	0	14	2	2	0	3
4	0	0	26	0	1	2	4
5	0	0	0	0	2	1	5
6	0	0	17	0	0	1	1
7	0	0	5	1	0	1	5
8	0	0	16	0	2	1	1
9	0	0	24	0	2	1	5
10	0	0	12	2	0	0	3
11	0	0	18	0	0	0	6
12	0	0	17	1	2	1	2
13	0	0	23	1	0	2	4
14	0	0	4	2	2	0	3
15	0	0	10	1	1	1	3
16	0	0	20	0	0	0	5
17	0	0	25	1	0	0	5
18	0	0	13	2	1	1	7
19	0	0	9	1	0	0	4
20	0	0	27	2	1	1	3
21	0	0	8	2	1	0	0
22	0	0	7	0	2	0	6
23	0	0	4	1	1	2	7
24	0	0	16	2	0	2	1
25	0	0	17	2	1	0	4
26	0	0	27	0	1	0	4
27	0	0	11	2	0	2	4
28	0	0	12	0	1	0	0
29	0	0	20	1	0	0	5
30	0	0	19	0	0	0	1
31	0	0	5	2	1	0	2
32	0	0	8	2	1	2	2
33	0	0	16	2	2	1	3
34	0	0	12	2	1	1	5
35	0	0	28	2	1	0	3
36	0	0	14	0	1	0	3
37	0	0	14	0	0	2	0
38	0	0	14	0	0	1	1
39	0	0	15	1	2	1	3
40	0	0	8	2	2	2	7
41	0	0	15	1	1	0	1
42	0	0	6	2	1	1	6
43	0	0	26	1	2	0	1
44	0	0	3	1	2	1	1
45	0	0	15	0	0	2	7
46	0	0	8	1	0	1	7
47	0	0	15	0	1	2	1
48	0	0	3	2	2	0	1
49	0	0	15	0	1	1	7
50	0	0	13	1	0	0	6
51	0	0	0	1	1	1	4
52	0	0	27	2	2	2	7
53	0	0	9	0	1	0	0
54	0	0	3	2	1	0	0
55	0	0	30	2	2	0	0
56	0	0	5	0	0	2	1
57	0	0	15	1	0	2	3
58	0	0	2	2	0	1	5
59	0	0	16	0	2	2	5
60	0	0	15	1	1	0	4
61	0	0	29	1	0	0	7
62	0	0	6	0	2	0	4
63	0	0	8	1	0	0	5
64	0	0	18	0	1	2	4
65	0	0	0	2	2	1	1
66	0	0	8	1	0	0	2
67	0	0	17	1	2	0	5
68	0	0	13	2	2	1	7
69	0	0	16	0	0	2	6
70	0	0	17	0	0	1	2
71	0	0	16	0	2	1	6
72	0	0	0	0	0	2	2
73	0	0	2	1	2	2	2
74	0	0	27	0	0	1	5
75	0	0	2	1	0	2	3
76	0	0	6	1	2	1	2
77	0	0	15	0	0	1	0
78	0	0	11	2	1	1	3
79	0	0	17	0	2	0	6
80	0	0	2	1	0	0	7
81	0	0	22	1	0	0	0
82	0	0	12	1	1	1	1
83	0	0	17	1	2	2	6
84	0	0	21	0	0	1	2
85	0	0	16	0	0	2	6
86	0	0	22	2	1	1	1
87	0	0	24	2	0	1	0
88	0	0	27	0	2	2	3
89	0	0	23	1	0	2	5
90	0	0	20	2	0	2	4
91	0	0	19	2	1	1	6
92	0	0	18	2	0	0	6
93	0	0	24	2	2	0	4
94	0	0	25	2	0	1	4
95	0	0	13	1	2	2	5
96	0	0	29	1	1	2	3
97	0	0	30	2	0	2	1
98	0	0	18	2	2	2	5
99	0	0	5	0	2	1	3
100	0	0	12	0	0	0	3
101	0	0	30	2	0	1	6
102	0	0	12	2	2	1	7
103	0	0	25	0	0	2	0
104	0	0	6	1	0	0	7
105	0	0	3	2	0	0	7
106	0	0	8	1	2	2	5
107	0	0	28	2	2	2	6
108	0	0	28	0	2	1	7
109	0	0	16	0	2	1	7
110	0	0	15	1	1	0	4
111	0	0	15	1	1	1	1
112	0	0	8	0	0	1	2
113	0	0	13	0	1	1	5
114	0	0	29	1	0	0	6
115	0	0	24	2	2	0	6
116	0	0	30	0	1	1	6
117	0	0	26	2	2	2	3
118	0	0	31	0	1	1	7
119	0	0	1	1	1	2	6
120	0	0	10	1	0	2	0
121	0	0	25	2	2	2	0
122	0	0	5	2	1	0	7
123	0	0	11	0	1	1	5
124	0	0	13	1	1	1	6
125	0	0	17	1	1	0	7
126	0	0	1	2	2	0	5
127	0	0	14	2	0	2	0
128	0	0	1	0	0	0	2
129	0	0	15	0	1	2	1
130	0	0	13	1	2	1	5
131	0	0	10	2	2	2	1
132	0	0	10	1	0	2	0
133	0	0	19	2	2	1	6
134	0	0	12	0	2	2	3
135	0	0	6	2	1	2	1
136	0	0	2	1	2	1	5
137	0	0	4	2	2	1	0
138	0	0	26	1	0	1	5
139	0	0	29	2	0	1	2
140	0	0	17	2	2	1	7
141	0	0	27	2	2	1	5
142	0	0	15	0	1	1	3
143	0	0	29	2	2	2	6
144	0	0	21	0	1	1	2
145	0	0	31	0	1	1	5
146	0	0	17	2	2	1	0
147	0	0	12	0	0	2	6
148	0	0	31	2	0	2	7
149	0	0	31	1	0	0	4
150	0	0	14	1	2	0	4
151	0	0	23	1	2	2	5
152	0	0	27	2	2	1	5
153	0	0	29	1	1	1	3
154	0	0	7	2	0	1	1
155	0	0	11	0	0	2	7
156	0	0	17	2	2	2	4
157	0	0	6	0	1	0	5
158	0	0	11	1	0	2	2
159	0	0	17	0	0	2	4
160	0	0	8	2	1	0	0
161	0	0	18	1	1	1	5
162	0	0	11	0	1	1	1
163	0	0	4	1	1	0	0
164	0	0	9	0	2	1	1
165	0	0	15	0	2	1	3
166	0	0	24	1	1	1	6
167	0	0	19	2	2	0	1
168	0	0	13	2	0	1	1
169	0	0	10	0	0	2	1
170	0	0	10	0	1	1	7
171	0	0	18	0	0	1	4
172	0	0	29	0	2	0	4
173	0	0	12	1	0	2	3
174	0	0	9	1	0	0	0
175	0	0	10	1	2	2	4
176	0	0	28	0	1	2	4
177	0	0	25	1	2	2	7
178	0	0	28	0	2	0	6
179	0	0	20	2	1	0	1
180	0	0	14	2	2	2	0
181	0	0	17	2	0	0	7
