tag	layer	block	head	x	y	target	bit
0	0	10	3	28	25	1	4
1	0	3	10	35	754	1	1
2	0	11	0	139	89	1	6
3	0	0	8	23	223	1	3
4	0	9	11	6	574	1	3
5	0	10	3	179	558	1	6
6	0	7	2	150	284	1	0
7	0	11	2	108	348	1	4
8	0	3	1	195	344	1	1
9	0	6	9	24	367	1	5
10	0	4	8	11	747	1	7
11	0	1	10	96	80	1	4
12	0	9	11	92	591	1	3
13	0	1	4	11	677	1	3
14	0	1	4	59	103	1	6
15	0	7	5	162	373	1	2
16	0	5	11	53	686	1	4
17	0	10	8	165	73	1	2
18	0	11	6	62	167	1	7
19	0	4	10	163	704	1	3
20	0	5	0	196	57	1	3
21	0	5	3	102	274	1	1
22	0	9	10	183	322	1	3
23	0	7	2	101	658	1	7
24	0	4	11	35	252	1	4
25	0	9	5	109	597	1	6
26	0	3	1	35	521	1	7
27	0	0	10	28	156	1	2
28	0	6	6	152	65	1	6
29	0	9	8	119	541	1	4
30	0	0	10	174	738	1	1
31	0	8	1	192	273	1	5
32	0	4	0	111	161	1	7
33	0	11	8	184	269	1	2
34	0	1	2	160	305	1	3
35	0	5	9	195	165	1	0
36	0	5	5	125	19	1	1
37	0	4	9	61	59	1	3
38	0	1	1	21	749	1	7
39	0	8	10	196	128	1	2
40	0	7	8	140	169	1	4
41	0	9	11	108	216	1	3
42	0	4	7	102	687	1	5
43	0	8	3	115	123	1	3
44	0	1	9	86	21	1	3
45	0	3	3	1	72	1	0
46	0	1	8	8	338	1	1
47	0	3	3	71	685	1	7
48	0	8	3	33	740	1	7
49	0	7	1	104	194	1	1
50	0	10	6	110	362	1	6
51	0	7	0	186	55	1	1
52	0	6	3	186	347	1	1
53	0	3	2	48	549	1	7
54	0	6	3	46	285	1	7
55	0	1	0	113	563	1	1
56	0	10	3	138	15	1	1
57	0	2	3	104	497	1	7
58	0	6	0	15	168	1	6
59	0	6	6	67	465	1	4
60	0	11	2	187	569	1	7
61	0	3	9	75	222	1	0
62	0	11	0	138	62	1	5
63	0	0	0	149	488	1	2
64	0	8	9	20	190	1	1
65	0	1	1	172	240	1	6
66	0	9	9	63	592	1	0
67	0	1	4	107	673	1	5
68	0	3	3	171	733	1	5
69	0	4	7	101	134	1	4
70	0	5	7	192	74	1	0
71	0	9	8	144	102	1	1
72	0	3	5	129	271	1	2
73	0	1	2	62	378	1	4
74	0	7	9	139	720	1	4
75	0	10	10	135	8	1	4
76	0	1	1	34	270	1	1
77	0	11	4	141	159	1	4
78	0	9	3	53	734	1	5
79	0	10	4	162	270	1	7
80	0	0	4	23	649	1	6
81	0	0	10	0	341	1	2
82	0	4	8	41	759	1	7
83	0	11	1	109	574	1	0
84	0	1	5	176	152	1	0
85	0	9	2	141	151	1	6
86	0	0	5	78	373	1	0
87	0	3	5	174	255	1	1
88	0	8	3	104	635	1	2
89	0	2	2	45	422	1	0
90	0	11	4	85	421	1	3
91	0	2	0	179	110	1	6
92	0	7	5	56	204	1	7
93	0	4	10	58	228	1	0
94	0	3	1	102	336	1	4
95	0	4	10	89	656	1	6
96	0	8	4	84	28	1	1
97	0	2	1	148	271	1	0
98	0	9	6	111	353	1	5
99	0	9	9	130	118	1	6
100	0	3	0	65	45	1	6
101	0	8	5	137	703	1	3
102	0	6	9	17	680	1	5
103	0	5	8	169	127	1	4
104	0	4	6	170	418	1	5
105	0	11	3	75	567	1	2
106	0	6	9	170	388	1	2
107	0	9	4	77	415	1	0
108	0	4	7	53	440	1	5
109	0	7	8	113	691	1	3
110	0	7	4	188	173	1	1
111	0	8	1	169	648	1	5
112	0	3	3	172	317	1	3
113	0	2	7	6	47	1	3
114	0	9	6	196	74	1	7
115	0	10	7	147	199	1	6
116	0	6	1	62	151	1	0
117	0	6	0	56	180	1	7
118	0	8	2	63	124	1	7
119	0	7	7	170	543	1	5
120	0	9	8	184	516	1	6
121	0	7	7	40	761	1	7
122	0	4	8	192	253	1	4
123	0	7	7	160	244	1	4
124	0	1	4	182	292	1	3
125	0	5	2	81	553	1	1
126	0	2	11	59	392	1	2
127	0	3	5	16	424	1	6
128	0	8	3	119	425	1	0
129	0	6	9	99	598	1	0
130	0	6	4	122	6	1	5
131	0	6	7	107	551	1	3
132	0	3	0	69	446	1	7
133	0	6	11	86	684	1	6
134	0	2	6	119	130	1	0
135	0	9	1	144	678	1	0
136	0	10	2	109	138	1	7
137	0	0	3	66	388	1	5
138	0	7	4	83	345	1	6
139	0	6	0	64	83	1	7
140	0	11	3	138	53	1	5
141	0	10	0	17	667	1	0
142	0	3	3	51	20	1	2
143	0	2	9	121	685	1	1
144	0	3	5	119	716	1	4
145	0	2	2	155	621	1	1
146	0	4	4	27	592	1	0
147	0	9	11	173	384	1	6
148	0	3	1	19	606	1	3
149	0	11	9	77	700	1	1
150	0	0	10	88	545	1	6
151	0	5	0	17	518	1	5
152	0	6	5	125	108	1	6
153	0	10	6	117	724	1	2
154	0	2	9	187	534	1	4
155	0	8	11	123	476	1	6
156	0	9	1	68	330	1	3
157	0	4	9	115	249	1	7
158	0	9	0	171	388	1	5
159	0	7	3	83	186	1	7
160	0	5	9	66	348	1	4
161	0	11	8	70	569	1	0
162	0	3	7	21	247	1	6
163	0	8	10	194	246	1	7
164	0	11	1	125	458	1	0
165	0	4	4	56	414	1	3
166	0	10	8	148	377	1	7
167	0	8	5	88	435	1	5
168	0	11	4	116	277	1	4
169	0	3	5	30	738	1	3
170	0	1	3	190	548	1	2
171	0	3	11	189	495	1	4
172	0	9	1	194	537	1	4
173	0	3	2	75	232	1	5
174	0	4	4	3	725	1	2
175	0	0	11	13	566	1	4
176	0	2	0	163	502	1	1
177	0	9	7	72	480	1	7
178	0	5	7	47	52	1	4
179	0	1	1	16	410	1	7
180	0	9	2	161	702	1	0
181	0	2	3	144	311	1	1
182	0	1	8	142	426	1	3
183	0	6	9	115	453	1	4
184	0	6	9	78	582	1	0
185	0	11	4	25	212	1	3
186	0	10	2	20	160	1	3
187	0	8	6	19	160	1	0
188	0	7	4	176	608	1	7
189	0	0	11	59	295	1	4
190	0	7	4	18	703	1	3
191	0	10	6	150	677	1	3
192	0	1	4	139	230	1	2
193	0	2	4	18	61	1	2
194	0	9	7	191	582	1	4
195	0	1	11	119	705	1	4
196	0	6	7	69	512	1	7
197	0	1	11	153	40	1	6
198	0	5	1	154	256	1	0
199	0	3	10	172	589	1	0
200	0	4	7	147	41	1	2
201	0	8	2	166	452	1	4
202	0	9	1	111	650	1	7
203	0	7	5	89	418	1	5
204	0	10	6	26	164	1	5
205	0	11	8	126	295	1	6
206	0	0	4	116	90	1	5
207	0	5	10	29	413	1	0
208	0	8	3	118	423	1	0
209	0	8	10	92	637	1	7
210	0	7	4	194	52	1	3
211	0	8	11	33	294	1	7
212	0	7	11	31	29	1	3
213	0	2	8	79	564	1	0
214	0	6	7	23	230	1	1
215	0	1	11	165	157	1	7
216	0	4	6	130	722	1	4
217	0	7	8	120	249	1	7
218	0	2	1	98	195	1	2
219	0	4	0	106	348	1	4
220	0	4	2	185	305	1	7
221	0	7	5	137	495	1	5
222	0	8	7	195	556	1	6
223	0	5	9	48	714	1	3
224	0	6	5	59	420	1	0
225	0	11	6	121	722	1	6
226	0	10	0	166	155	1	7
227	0	2	1	128	604	1	5
228	0	7	0	25	538	1	7
229	0	11	1	36	419	1	2
230	0	7	10	67	346	1	6
231	0	1	5	84	690	1	6
232	0	10	9	183	499	1	0
233	0	1	3	60	646	1	4
234	0	11	10	23	444	1	1
235	0	11	11	25	454	1	2
236	0	4	0	7	47	1	5
237	0	4	2	91	383	1	6
238	0	3	2	135	421	1	2
239	0	2	9	20	624	1	6
240	0	10	3	61	509	1	2
241	0	7	4	163	260	1	7
242	0	10	10	2	476	1	4
243	0	8	5	40	75	1	7
244	0	9	11	76	654	1	6
245	0	4	6	116	309	1	3
246	0	7	9	27	242	1	6
247	0	5	0	147	302	1	4
248	0	10	9	101	281	1	0
249	0	10	4	190	50	1	7
250	0	3	10	155	360	1	3
251	0	3	10	158	256	1	2
252	0	1	4	160	661	1	0
253	0	7	11	8	593	1	5
254	0	2	11	23	302	1	5
