tag	layer	block	head	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
0	0	3	1	20	7	7	70	1	1	1	6	34
1	0	9	0	0	5	5	59	6	3	6	0	461
2	0	6	2	18	17	17	40	7	4	2	0	783
3	0	5	2	10	6	6	97	0	4	0	7	551
4	0	10	4	3	24	24	141	4	5	3	4	48
5	0	1	3	21	14	14	20	1	4	7	5	168
6	0	10	5	11	22	22	68	7	1	2	0	169
7	0	10	2	14	24	24	142	1	0	3	0	325
8	0	11	2	12	17	17	54	6	3	7	0	660
9	0	11	4	14	9	9	35	1	4	6	6	372
10	0	0	0	7	8	8	126	0	2	2	6	612
11	0	4	4	2	24	24	119	6	0	1	0	789
12	0	2	3	20	21	21	75	5	0	4	0	521
13	0	3	1	3	40	40	129	6	5	2	0	615
14	0	4	1	10	31	31	28	4	0	3	5	89
15	0	2	5	23	31	31	136	1	7	2	4	542
16	0	11	1	19	27	27	138	7	4	6	0	450
17	0	1	2	16	28	28	63	1	0	3	3	9
18	0	1	0	2	45	45	15	1	5	1	3	287
19	0	11	4	21	31	31	138	1	7	3	7	418
20	0	6	3	6	6	6	110	4	7	0	6	64
21	0	3	1	12	46	46	27	1	7	2	6	189
22	0	8	0	8	29	29	19	5	0	0	0	773
23	0	3	3	7	10	10	124	5	0	2	0	4
24	0	11	5	12	16	16	73	5	7	2	0	305
25	0	11	2	6	3	3	138	0	0	0	7	516
26	0	2	0	16	10	10	130	0	1	3	6	124
27	0	1	3	18	15	15	10	6	5	4	0	687
28	0	2	5	22	20	20	67	5	4	7	0	771
29	0	8	1	2	0	0	25	0	4	2	5	72
30	0	8	5	7	23	23	40	5	4	0	0	681
31	0	11	4	3	8	8	29	0	2	4	4	621
32	0	10	2	6	45	45	52	7	7	4	0	96
33	0	5	1	20	27	27	11	0	4	2	7	566
34	0	1	5	22	27	27	2	0	2	0	5	598
35	0	4	2	17	9	9	32	0	0	5	3	700
36	0	6	4	7	42	42	90	6	2	3	0	821
37	0	5	3	5	26	26	45	7	3	4	0	808
38	0	3	1	22	6	6	9	5	7	5	0	816
39	0	5	2	7	14	14	49	5	1	4	0	658
40	0	0	0	16	25	25	137	4	4	2	16	41
41	0	5	3	3	38	38	88	7	1	6	0	262
42	0	8	5	1	45	45	0	6	3	5	0	73
43	0	1	5	21	21	21	80	7	4	4	0	336
44	0	3	3	12	44	44	141	1	6	2	4	417
45	0	6	4	17	0	0	73	1	5	7	7	454
46	0	2	5	21	13	13	121	7	1	4	0	97
47	0	3	1	24	15	15	79	1	0	0	3	488
48	0	9	1	19	4	4	106	7	6	7	0	251
49	0	6	1	4	41	41	1	0	2	7	0	572
50	0	10	4	7	7	7	34	5	5	7	0	563
51	0	4	1	14	10	10	121	5	4	7	0	283
52	0	4	2	14	4	4	73	1	5	1	2	156
53	0	3	0	7	24	24	39	7	6	6	0	557
54	0	6	4	14	26	26	52	5	0	6	0	8
55	0	11	5	11	19	19	107	6	3	7	0	281
56	0	10	5	13	31	31	99	4	6	2	29	132
57	0	9	5	19	34	34	100	6	0	1	0	140
58	0	5	1	14	11	11	66	5	7	5	0	781
59	0	7	0	12	17	17	64	0	0	5	3	667
60	0	3	0	2	41	41	7	1	2	3	2	486
61	0	11	2	21	7	7	55	5	5	2	0	798
62	0	9	5	5	19	19	6	4	6	6	12	79
63	0	11	2	18	44	44	62	0	1	0	5	547
64	0	10	2	13	42	42	17	6	0	6	0	110
65	0	2	3	13	23	23	117	7	2	4	0	478
66	0	3	0	13	46	46	68	4	4	7	15	770
67	0	0	3	14	36	36	97	4	5	2	31	219
68	0	11	2	11	16	16	71	6	0	3	0	249
69	0	11	3	23	26	26	142	1	7	7	0	97
70	0	10	4	9	14	14	62	4	5	7	22	437
71	0	7	2	23	35	35	90	7	4	4	0	125
72	0	8	5	23	12	12	30	7	2	3	0	758
73	0	4	0	15	17	17	134	6	3	4	0	371
74	0	4	0	5	19	19	136	1	0	4	2	655
75	0	4	3	24	31	31	3	6	7	7	0	190
76	0	6	3	1	16	16	29	0	1	0	2	154
77	0	8	3	18	19	19	63	0	3	6	7	455
78	0	9	0	9	37	37	78	6	1	3	0	272
79	0	8	0	21	5	5	61	1	2	0	6	463
80	0	3	2	22	38	38	74	0	4	7	1	705
81	0	1	4	7	16	16	50	5	3	2	0	147
82	0	11	4	2	3	3	78	6	4	7	0	481
83	0	8	4	22	19	19	103	4	7	7	5	614
84	0	4	0	1	27	27	82	6	1	3	0	785
85	0	7	4	21	17	17	10	1	7	4	2	601
86	0	5	3	13	40	40	23	5	5	5	0	166
87	0	10	3	10	26	26	126	4	0	7	5	324
88	0	0	5	8	20	20	103	6	7	6	0	194
89	0	7	0	16	23	23	127	7	3	4	0	296
90	0	10	4	14	44	44	31	0	3	2	4	566
91	0	1	3	0	35	35	23	1	1	2	7	735
92	0	7	3	9	32	32	69	5	3	7	0	394
93	0	4	3	6	38	38	34	0	5	4	0	291
94	0	7	4	23	19	19	125	1	7	5	5	567
95	0	3	5	24	34	34	116	4	3	6	14	796
96	0	6	3	13	2	2	121	7	2	7	0	131
97	0	1	4	16	37	37	25	5	7	0	0	421
98	0	5	4	20	9	9	120	4	6	1	21	692
99	0	0	4	17	24	24	124	6	1	3	0	234
100	0	11	0	23	5	5	25	7	7	2	0	31
101	0	5	3	1	20	20	75	4	2	3	26	581
102	0	9	3	21	11	11	44	0	3	7	2	239
103	0	10	0	14	40	40	117	4	7	4	10	77
104	0	6	5	14	22	22	76	7	4	7	0	205
105	0	9	2	12	30	30	60	5	4	4	0	676
106	0	11	3	12	17	17	12	6	4	3	0	226
107	0	11	5	20	12	12	64	7	2	1	0	318
108	0	2	0	14	2	2	93	7	4	5	0	181
109	0	8	2	6	8	8	93	6	2	4	0	304
110	0	2	1	23	21	21	119	0	6	5	1	811
111	0	7	2	12	0	0	137	0	4	6	5	112
112	0	8	2	21	14	14	6	6	3	1	0	719
113	0	0	0	9	41	41	29	1	4	7	1	101
114	0	5	5	7	34	34	99	5	6	2	0	672
115	0	0	5	3	31	31	104	4	5	3	28	457
116	0	10	2	7	23	23	94	6	0	6	0	196
117	0	10	4	3	29	29	54	7	0	0	0	251
118	0	3	4	4	36	36	17	6	3	3	0	794
119	0	2	4	4	38	38	70	1	4	2	1	678
120	0	9	2	0	8	8	91	1	0	2	4	55
121	0	11	0	4	47	47	134	0	7	7	5	527
122	0	9	0	18	6	6	128	1	4	7	0	64
123	0	11	3	15	25	25	27	5	1	1	0	624
124	0	10	4	4	4	4	70	6	5	6	0	466
125	0	1	5	16	38	38	25	7	3	6	0	235
126	0	11	0	13	21	21	102	5	5	6	0	683
127	0	1	0	8	23	23	121	0	1	6	1	764
128	0	9	4	23	23	23	142	0	5	1	6	364
129	0	9	2	21	27	27	13	4	5	1	13	160
130	0	8	2	21	30	30	27	4	1	4	14	441
131	0	9	5	17	39	39	142	0	4	0	2	281
132	0	2	1	22	19	19	89	0	6	1	2	760
133	0	6	3	20	1	1	135	1	7	5	2	380
134	0	2	1	9	46	46	21	0	0	1	4	455
135	0	4	1	21	27	27	113	5	1	5	0	115
136	0	10	2	9	43	43	124	6	0	3	0	615
137	0	2	2	1	0	0	77	1	4	5	1	9
138	0	6	4	15	47	47	44	1	3	5	1	408
139	0	1	2	23	2	2	4	5	6	6	0	298
140	0	9	3	3	25	25	83	1	5	1	6	110
141	0	1	3	7	27	27	102	6	4	5	0	343
142	0	1	4	24	10	10	130	7	3	5	0	746
143	0	4	1	20	9	9	26	1	2	2	1	183
144	0	9	3	24	40	40	118	6	5	5	0	452
145	0	9	0	2	30	30	77	4	5	1	19	474
146	0	1	5	14	2	2	94	4	1	6	29	596
147	0	10	1	17	47	47	115	6	5	7	0	65
148	0	10	1	14	6	6	21	6	0	3	0	451
149	0	5	2	16	33	33	40	4	6	6	21	697
150	0	5	0	19	3	3	85	0	6	4	4	743
151	0	9	5	21	38	38	85	0	2	5	4	673
152	0	11	0	22	42	42	33	6	4	6	0	132
153	0	10	5	21	44	44	134	0	6	5	0	373
