tag	layer	block	head	x	y	target	bit
0	0	10	1	28	12	1	4
1	0	3	5	35	377	1	1
2	0	11	0	139	44	1	6
3	0	0	4	23	111	1	3
4	0	9	5	6	287	1	3
5	0	10	1	179	279	1	6
6	0	7	1	150	142	1	0
7	0	11	1	108	174	1	4
8	0	3	0	195	172	1	1
9	0	6	4	24	183	1	5
10	0	4	4	11	373	1	7
11	0	1	5	96	40	1	4
12	0	9	5	92	295	1	3
13	0	1	2	11	338	1	3
14	0	1	2	59	51	1	6
15	0	7	2	162	186	1	2
16	0	5	5	53	343	1	4
17	0	10	4	165	36	1	2
18	0	11	3	62	83	1	7
19	0	4	5	163	352	1	3
20	0	5	0	196	28	1	3
21	0	5	1	102	137	1	1
22	0	9	5	183	161	1	3
23	0	7	1	101	329	1	7
24	0	4	5	35	126	1	4
25	0	9	2	109	298	1	6
26	0	3	0	35	260	1	7
27	0	0	5	28	78	1	2
28	0	6	3	152	32	1	6
29	0	9	4	119	270	1	4
30	0	0	5	174	369	1	1
31	0	8	0	192	136	1	5
32	0	4	0	111	80	1	7
33	0	11	4	184	134	1	2
34	0	1	1	160	152	1	3
35	0	5	4	195	82	1	0
36	0	5	2	125	9	1	1
37	0	4	4	61	29	1	3
38	0	1	0	21	374	1	7
39	0	8	5	196	64	1	2
40	0	7	4	140	84	1	4
41	0	9	5	108	108	1	3
42	0	4	3	102	343	1	5
43	0	8	1	115	61	1	3
44	0	1	4	86	10	1	3
45	0	3	1	1	36	1	0
46	0	1	4	8	169	1	1
47	0	3	1	71	342	1	7
48	0	8	1	33	370	1	7
49	0	7	0	104	97	1	1
50	0	10	3	110	181	1	6
51	0	7	0	186	27	1	1
52	0	6	1	186	173	1	1
53	0	3	1	48	274	1	7
54	0	6	1	46	142	1	7
55	0	1	0	113	281	1	1
56	0	10	1	138	7	1	1
57	0	2	1	104	248	1	7
58	0	6	0	15	84	1	6
59	0	6	3	67	232	1	4
60	0	11	1	187	284	1	7
61	0	3	4	75	111	1	0
62	0	11	0	138	31	1	5
63	0	0	0	149	244	1	2
64	0	8	4	20	95	1	1
65	0	1	0	172	120	1	6
66	0	9	4	63	296	1	0
67	0	1	2	107	336	1	5
68	0	3	1	171	366	1	5
69	0	4	3	101	67	1	4
70	0	5	3	192	37	1	0
71	0	9	4	144	51	1	1
72	0	3	2	129	135	1	2
73	0	1	1	62	189	1	4
74	0	7	4	139	360	1	4
75	0	10	5	135	4	1	4
76	0	1	0	34	135	1	1
77	0	11	2	141	79	1	4
78	0	9	1	53	367	1	5
79	0	10	2	162	135	1	7
80	0	0	2	23	324	1	6
81	0	0	5	0	170	1	2
82	0	4	4	41	379	1	7
83	0	11	0	109	287	1	0
84	0	1	2	176	76	1	0
85	0	9	1	141	75	1	6
86	0	0	2	78	186	1	0
87	0	3	2	174	127	1	1
88	0	8	1	104	317	1	2
89	0	2	1	45	211	1	0
90	0	11	2	85	210	1	3
91	0	2	0	179	55	1	6
92	0	7	2	56	102	1	7
93	0	4	5	58	114	1	0
94	0	3	0	102	168	1	4
95	0	4	5	89	328	1	6
96	0	8	2	84	14	1	1
97	0	2	0	148	135	1	0
98	0	9	3	111	176	1	5
99	0	9	4	130	59	1	6
100	0	3	0	65	22	1	6
101	0	8	2	137	351	1	3
102	0	6	4	17	340	1	5
103	0	5	4	169	63	1	4
104	0	4	3	170	209	1	5
105	0	11	1	75	283	1	2
106	0	6	4	170	194	1	2
107	0	9	2	77	207	1	0
108	0	4	3	53	220	1	5
109	0	7	4	113	345	1	3
110	0	7	2	188	86	1	1
111	0	8	0	169	324	1	5
112	0	3	1	172	158	1	3
113	0	2	3	6	23	1	3
114	0	9	3	196	37	1	7
115	0	10	3	147	99	1	6
116	0	6	0	62	75	1	0
117	0	6	0	56	90	1	7
118	0	8	1	63	62	1	7
119	0	7	3	170	271	1	5
120	0	9	4	184	258	1	6
121	0	7	3	40	380	1	7
122	0	4	4	192	126	1	4
123	0	7	3	160	122	1	4
124	0	1	2	182	146	1	3
125	0	5	1	81	276	1	1
126	0	2	5	59	196	1	2
127	0	3	2	16	212	1	6
128	0	8	1	119	212	1	0
129	0	6	4	99	299	1	0
130	0	6	2	122	3	1	5
131	0	6	3	107	275	1	3
132	0	3	0	69	223	1	7
133	0	6	5	86	342	1	6
134	0	2	3	119	65	1	0
135	0	9	0	144	339	1	0
136	0	10	1	109	69	1	7
137	0	0	1	66	194	1	5
138	0	7	2	83	172	1	6
139	0	6	0	64	41	1	7
140	0	11	1	138	26	1	5
141	0	10	0	17	333	1	0
142	0	3	1	51	10	1	2
143	0	2	4	121	342	1	1
144	0	3	2	119	358	1	4
145	0	2	1	155	310	1	1
146	0	4	2	27	296	1	0
147	0	9	5	173	192	1	6
148	0	3	0	19	303	1	3
149	0	11	4	77	350	1	1
150	0	0	5	88	272	1	6
151	0	5	0	17	259	1	5
152	0	6	2	125	54	1	6
153	0	10	3	117	362	1	2
154	0	2	4	187	267	1	4
155	0	8	5	123	238	1	6
156	0	9	0	68	165	1	3
157	0	4	4	115	124	1	7
158	0	9	0	171	194	1	5
159	0	7	1	83	93	1	7
160	0	5	4	66	174	1	4
161	0	11	4	70	284	1	0
162	0	3	3	21	123	1	6
163	0	8	5	194	123	1	7
164	0	11	0	125	229	1	0
165	0	4	2	56	207	1	3
166	0	10	4	148	188	1	7
167	0	8	2	88	217	1	5
168	0	11	2	116	138	1	4
169	0	3	2	30	369	1	3
170	0	1	1	190	274	1	2
171	0	3	5	189	247	1	4
172	0	9	0	194	268	1	4
173	0	3	1	75	116	1	5
174	0	4	2	3	362	1	2
175	0	0	5	13	283	1	4
176	0	2	0	163	251	1	1
177	0	9	3	72	240	1	7
178	0	5	3	47	26	1	4
179	0	1	0	16	205	1	7
180	0	9	1	161	351	1	0
181	0	2	1	144	155	1	1
182	0	1	4	142	213	1	3
183	0	6	4	115	226	1	4
184	0	6	4	78	291	1	0
185	0	11	2	25	106	1	3
186	0	10	1	20	80	1	3
187	0	8	3	19	80	1	0
188	0	7	2	176	304	1	7
189	0	0	5	59	147	1	4
190	0	7	2	18	351	1	3
191	0	10	3	150	338	1	3
192	0	1	2	139	115	1	2
193	0	2	2	18	30	1	2
194	0	9	3	191	291	1	4
195	0	1	5	119	352	1	4
196	0	6	3	69	256	1	7
197	0	1	5	153	20	1	6
198	0	5	0	154	128	1	0
199	0	3	5	172	294	1	0
200	0	4	3	147	20	1	2
201	0	8	1	166	226	1	4
202	0	9	0	111	325	1	7
203	0	7	2	89	209	1	5
204	0	10	3	26	82	1	5
205	0	11	4	126	147	1	6
206	0	0	2	116	45	1	5
207	0	5	5	29	206	1	0
208	0	8	1	118	211	1	0
209	0	8	5	92	318	1	7
210	0	7	2	194	26	1	3
211	0	8	5	33	147	1	7
212	0	7	5	31	14	1	3
213	0	2	4	79	282	1	0
214	0	6	3	23	115	1	1
215	0	1	5	165	78	1	7
216	0	4	3	130	361	1	4
217	0	7	4	120	124	1	7
218	0	2	0	98	97	1	2
219	0	4	0	106	174	1	4
220	0	4	1	185	152	1	7
221	0	7	2	137	247	1	5
222	0	8	3	195	278	1	6
223	0	5	4	48	357	1	3
224	0	6	2	59	210	1	0
225	0	11	3	121	361	1	6
226	0	10	0	166	77	1	7
227	0	2	0	128	302	1	5
228	0	7	0	25	269	1	7
229	0	11	0	36	209	1	2
230	0	7	5	67	173	1	6
231	0	1	2	84	345	1	6
232	0	10	4	183	249	1	0
233	0	1	1	60	323	1	4
234	0	11	5	23	222	1	1
235	0	11	5	25	227	1	2
236	0	4	0	7	23	1	5
237	0	4	1	91	191	1	6
238	0	3	1	135	210	1	2
239	0	2	4	20	312	1	6
240	0	10	1	61	254	1	2
241	0	7	2	163	130	1	7
242	0	10	5	2	238	1	4
243	0	8	2	40	37	1	7
244	0	9	5	76	327	1	6
245	0	4	3	116	154	1	3
246	0	7	4	27	121	1	6
247	0	5	0	147	151	1	4
248	0	10	4	101	140	1	0
249	0	10	2	190	25	1	7
250	0	3	5	155	180	1	3
251	0	3	5	158	128	1	2
252	0	1	2	160	330	1	0
253	0	7	5	8	296	1	5
254	0	2	5	23	151	1	5
255	0	6	4	44	102	1	2
256	0	5	1	135	256	1	4
257	0	4	0	123	151	1	5
258	0	7	5	19	72	1	3
259	0	11	0	172	203	1	5
260	0	6	3	3	135	1	1
261	0	5	4	172	383	1	4
262	0	6	5	163	190	1	1
263	0	3	4	120	12	1	5
264	0	3	5	165	32	1	7
265	0	4	1	166	209	1	1
266	0	0	0	9	155	1	7
